OBJECTID;FORMULARIO;CODIGO_ACCIDENTADO;CODIGO_VICTIMA;CODIGO_VEHICULO;CONDICION;ESTADO;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;FECHA_NACIMIENTO;EDAD;CODIGO;CONDICION_VEHICULO;cod_accidente;OBJECTID-2;FORMULARIO-2;CODIGO_ACCIDENTE;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;DIRECCION;GRAVEDAD;CLASE_ACC;LOCALIDAD;MUNICIPIO;FECHA_HORA_ACC;LATITUD;LONGITUD;CIV;PK_CALZADA
152929;712021700;154796;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;31/07/1974 19:00;32;14287-;PEATON;14287;;;;;;;;;;;;;;;;;;
152933;712022100;154800;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;FEMENINO;10/01/1936 19:00;71;14291-1;PASAJERO;14291;;;;;;;;;;;;;;;;;;
153082;712692500;156853;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;29/01/1935 19:00;72;20930-1;PASAJERO;20930;;;;;;;;;;;;;;;;;;
153130;712705600;156901;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;30/01/1989 19:00;18;21060-;PEATON;21060;;;;;;;;;;;;;;;;;;
153293;727153000;160867;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;8/01/1957 19:00;50;34241-1;PASAJERO;34241;;;;;;;;;;;;;;;;;;
153348;727160000;160922;1;1;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;15/08/1926 19:00;80;34310-1;PEATON;34310;;;;;;;;;;;;;;;;;;
153368;727170100;160942;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;30/10/1993 19:00;13;34411-;PEATON;34411;;;;;;;;;;;;;;;;;;
153371;727170600;160945;1;;PEATON;HERIDO;N;1/01/1975 1:00;FEMENINO;16/12/1990 19:00;16;34416-;PEATON;34416;;;;;;;;;;;;;;;;;;
153433;712062400;154920;1;2;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;30/11/1981 19:00;25;14685-2;PASAJERO;14685;;;;;;;;;;;;;;;;;;
153457;712072700;154944;1;;PASAJERO;MUERTO;;1/01/1975 1:00;FEMENINO;3/06/1980 19:00;26;14788-;PASAJERO;14788;;;;;;;;;;;;;;;;;;
